city,date,max_temp
Miass,2024-03-18,3.4
Miass,2024-03-19,1.6
Miass,2024-03-20,4.4
Miass,2024-03-21,4.6
Miass,2024-03-22,2.7
Miass,2024-03-23,4.4
Miass,2024-03-24,4.5
Miass,2024-03-25,6.8
Miass,2024-03-26,2.5
Miass,2024-03-27,1.3
Miass,2024-03-28,3.4
Miass,2024-03-29,0.8
Miass,2024-03-30,4.8
Miass,2024-03-31,7.1
Miass,2024-04-01,5.2
Miass,2024-04-02,9.9
Miass,2024-04-03,13.8
Miass,2024-04-04,13.7
Miass,2024-04-05,13.8
Miass,2024-04-06,7.9
Miass,2024-04-07,1.0
Miass,2024-04-08,3.5
Miass,2024-04-09,8.8
Miass,2024-04-10,6.9
Miass,2024-04-11,9.8
Miass,2024-04-12,13.1
Miass,2024-04-13,7.8
Miass,2024-04-14,6.1
Miass,2024-04-15,8.2
Miass,2024-04-16,11.9
Miass,2024-04-17,13.9
London,2024-03-18,15.4
London,2024-03-19,15.0
London,2024-03-20,17.0
London,2024-03-21,16.2
London,2024-03-22,11.2
London,2024-03-23,8.7
London,2024-03-24,10.0
London,2024-03-25,10.8
London,2024-03-26,7.9
London,2024-03-27,10.3
London,2024-03-28,9.6
London,2024-03-29,11.8
London,2024-03-30,13.3
London,2024-03-31,12.5
London,2024-04-01,13.5
London,2024-04-02,14.7
London,2024-04-03,14.1
London,2024-04-04,14.8
London,2024-04-05,15.9
London,2024-04-06,17.6
London,2024-04-07,15.8
London,2024-04-08,17.2
London,2024-04-09,11.6
London,2024-04-10,14.0
London,2024-04-11,19.2
London,2024-04-12,19.2
London,2024-04-13,19.4
London,2024-04-14,13.7
London,2024-04-15,10.6
London,2024-04-16,12.6
London,2024-04-17,10.3
Los Angeles,2024-03-18,22.7
Los Angeles,2024-03-19,22.4
Los Angeles,2024-03-20,22.1
Los Angeles,2024-03-21,21.7
Los Angeles,2024-03-22,20.9
Los Angeles,2024-03-23,16.7
Los Angeles,2024-03-24,16.9
Los Angeles,2024-03-25,18.6
Los Angeles,2024-03-26,19.3
Los Angeles,2024-03-27,19.8
Los Angeles,2024-03-28,18.8
Los Angeles,2024-03-29,15.8
Los Angeles,2024-03-30,15.2
Los Angeles,2024-03-31,16.9
Los Angeles,2024-04-01,19.7
Los Angeles,2024-04-02,21.6
Los Angeles,2024-04-03,23.0
Los Angeles,2024-04-04,15.9
Los Angeles,2024-04-05,14.3
Los Angeles,2024-04-06,16.7
Los Angeles,2024-04-07,17.0
Los Angeles,2024-04-08,23.3
Los Angeles,2024-04-09,24.9
Los Angeles,2024-04-10,25.4
Los Angeles,2024-04-11,25.4
Los Angeles,2024-04-12,21.6
Los Angeles,2024-04-13,15.9
Los Angeles,2024-04-14,13.3
Los Angeles,2024-04-15,19.0
Los Angeles,2024-04-16,22.9
Los Angeles,2024-04-17,25.0
Colombo,2024-03-18,31.3
Colombo,2024-03-19,31.1
Colombo,2024-03-20,31.2
Colombo,2024-03-21,31.9
Colombo,2024-03-22,32.2
Colombo,2024-03-23,31.7
Colombo,2024-03-24,31.2
Colombo,2024-03-25,31.5
Colombo,2024-03-26,31.5
Colombo,2024-03-27,29.8
Colombo,2024-03-28,31.0
Colombo,2024-03-29,31.6
Colombo,2024-03-30,30.8
Colombo,2024-03-31,30.9
Colombo,2024-04-01,31.1
Colombo,2024-04-02,31.6
Colombo,2024-04-03,31.4
Colombo,2024-04-04,31.6
Colombo,2024-04-05,31.1
Colombo,2024-04-06,31.9
Colombo,2024-04-07,31.7
Colombo,2024-04-08,31.7
Colombo,2024-04-09,32.6
Colombo,2024-04-10,31.8
Colombo,2024-04-11,32.3
Colombo,2024-04-12,31.2
Colombo,2024-04-13,30.7
Colombo,2024-04-14,32.1
Colombo,2024-04-15,32.0
Colombo,2024-04-16,32.0
Colombo,2024-04-17,31.9
Oslo,2024-03-18,-0.3
Oslo,2024-03-19,0.4
Oslo,2024-03-20,1.7
Oslo,2024-03-21,1.7
Oslo,2024-03-22,3.8
Oslo,2024-03-23,2.2
Oslo,2024-03-24,1.4
Oslo,2024-03-25,0.3
Oslo,2024-03-26,1.8
Oslo,2024-03-27,1.5
Oslo,2024-03-28,2.5
Oslo,2024-03-29,4.7
Oslo,2024-03-30,5.8
Oslo,2024-03-31,4.5
Oslo,2024-04-01,5.8
Oslo,2024-04-02,3.6
Oslo,2024-04-03,0.8
Oslo,2024-04-04,-2.9
Oslo,2024-04-05,0.3
Oslo,2024-04-06,2.2
Oslo,2024-04-07,6.8
Oslo,2024-04-08,8.4
Oslo,2024-04-09,9.0
Oslo,2024-04-10,7.3
Oslo,2024-04-11,12.1
Oslo,2024-04-12,12.5
Oslo,2024-04-13,12.5
Oslo,2024-04-14,8.6
Oslo,2024-04-15,8.7
Oslo,2024-04-16,7.0
Oslo,2024-04-17,6.2
